conductor,vehículo,Unidad,no_estación_pemex,rendimiento,rendimiento_real,precio_unitario,cantidad_mercancía,kg_c02,division,bl,mercancía
3247731,Unidad WF0CP6A73J1C54322,UNIDADWF0CP,,22.34,14.0,21.1,10.96,17.22088838268793,RPF,RPI,MAGNA
4255618,Unidad 1FBAX2CM5HKA24471      ,UNIDAD1FBAX,,22.39,14.0,21.1,54.63,60.89088838268793,RPF,RPI,MAGNA
4573416,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,20.85,14.0,21.1,23.98,30.240888382687928,RPF,RPI,MAGNA
3947579,Unidad VF634DPA69D005399,UNIDADVF634,,24.34,14.0,24.24,40.71,46.97088838268793,RPF,RPI,DIESEL
2147783,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.44,14.0,21.1,86.68,92.94088838268793,RPF,RPS,MAGNA
2380202,Unidad 1FBAX2CM1KKA25124      ,UNIDAD1FBAX,,21.99,14.0,21.1,56.0,62.26088838268793,RPF,RPS,MAGNA
197612,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,22.09,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
28557812,Unidad 3HTWGADT97N472475,UNIDAD3HTWG,,24.25,14.0,24.24,27.77,34.03088838268793,RPF,RPI,DIESEL
6427439,Unidad WF0CP6A73J1C84999      ,UNIDADWF0CP,,22.09,14.0,21.1,22.64,28.90088838268793,RPF,RPI,MAGNA
6623698,Unidad WF06S5JPXKTC35052      ,UNIDADWF06S,,23.79,14.0,24.24,75.14,81.40088838268792,RPF,RPE,DIESEL
197612,Unidad 1FDEF3G60BEA29323      ,UNIDAD1FDEF,,22.19,14.0,21.1,90.0,96.26088838268792,RPF,RPI,MAGNA
4573416,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.09,14.0,21.1,53.07,59.33088838268793,RPF,RPI,MAGNA
4478038,Unidad 1FTEW1CB6JKF47318      ,UNIDAD1FTEW,,22.36,14.0,21.1,48.14,54.40088838268793,RPF,RPE,MAGNA
80030936,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.39,14.0,21.1,31.64,37.90088838268793,RPF,RPI,MAGNA
2531853,Unidad 1NKDL4EX1AR269612      ,UNIDAD1NKDL,,23.2,14.0,24.24,90.08,96.34088838268792,RPF,RPI,DIESEL
6602221,Unidad WF0CP6A79H1C08598      ,UNIDADWF0CP,,22.29,14.0,21.1,35.9,42.16088838268793,RPF,RPI,MAGNA
1998434,Unidad 1FBAX2CM7KKA33681,UNIDAD1FBAX,,21.65,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
197612,Unidad 3HAMMAAR19L121527      ,UNIDAD3HAMM,,22.99,14.0,24.24,65.24,71.50088838268792,RPF,RPE,DIESEL
2876308,Unidad WF0CP6A74H1C46708      ,UNIDADWF0CP,,21.98,14.0,21.1,27.3,33.56088838268793,RPF,RPI,MAGNA
2920742,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,22.25,14.0,21.1,61.96,68.22088838268793,RPF,RPI,MAGNA
6446405,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.44,14.0,21.1,45.46,51.72088838268793,RPF,RPS,MAGNA
6446405,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,21.59,14.0,21.1,59.86,66.12088838268792,RPF,RPS,MAGNA
80030936,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.44,14.0,21.1,28.61,34.87088838268793,RPF,RPI,MAGNA
3223575,Unidad WF06S5JPXKTC35052      ,UNIDADWF06S,,23.79,14.0,24.24,50.0,56.26088838268793,RPF,RPE,DIESEL
4255618,Unidad 1FBAX2CM5HKA24471      ,UNIDAD1FBAX,,22.44,14.0,21.1,68.97,75.23088838268792,RPF,RPI,MAGNA
3947579,Unidad 1FBAX2CM7KKA33681,UNIDAD1FBAX,,22.09,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
4844114,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.09,14.0,21.1,49.0,55.26088838268793,RPF,RPI,MAGNA
3947579,Unidad 1FBAX2CM7KKA33681,UNIDAD1FBAX,,22.09,14.0,21.1,78.25,84.51088838268792,RPF,RPI,MAGNA
1998434,Unidad 1FDEF3G60BEA29323      ,UNIDAD1FDEF,,22.09,14.0,21.1,89.67,95.93088838268793,RPF,RPI,MAGNA
4255618,Unidad 1FBAX2CM5HKA24471      ,UNIDAD1FBAX,,22.44,14.0,21.1,20.15,26.41088838268793,RPF,RPI,MAGNA
3223575,Unidad WF06S5JPXKTC35052      ,UNIDADWF06S,,23.79,14.0,24.24,75.0,81.26088838268792,RPF,RPE,DIESEL
80030936,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.19,14.0,21.1,29.79,36.05088838268793,RPF,RPI,MAGNA
4255618,Unidad 1FBAX2CM5HKA24471      ,UNIDAD1FBAX,,22.44,14.0,21.1,65.04,71.30088838268793,RPF,RPI,MAGNA
3055555,Unidad 1FDAF4GT9KEE44991      ,UNIDAD1FDAF,,24.24,14.0,24.24,54.58,60.84088838268793,RPF,RPI,DIESEL
3858198,Unidad 1FTMF1CB5JFA34792      ,UNIDAD1FTMF,,21.29,14.0,21.1,65.76,72.02088838268793,RPF,RPI,MAGNA
2884484,Unidad WF06S5JP4JTA52082,UNIDADWF06S,,23.99,14.0,24.24,77.19,83.45088838268792,RPF,RPI,DIESEL
80030936,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.44,14.0,21.1,17.82,24.08088838268793,RPF,RPI,MAGNA
6641468,Unidad 3HAMPAFL0BL409685,UNIDAD3HAMP,,23.49,14.0,24.24,121.19,127.45088838268792,RPF,RPE,DIESEL
2147692,Unidad 1FDEF3G69CED10845      ,UNIDAD1FDEF,,22.44,14.0,21.1,47.2,53.46088838268793,RPF,RPI,MAGNA
6623698,Unidad WF06S5JPXKTC35052      ,UNIDADWF06S,,23.79,14.0,24.24,79.03,85.29088838268792,RPF,RPE,DIESEL
4519914,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.09,14.0,21.1,66.6,72.86088838268792,RPF,RPI,MAGNA
3055555,Unidad 1FDAF4GT9KEE44991      ,UNIDAD1FDAF,,23.99,14.0,24.24,78.06,84.32088838268793,RPF,RPI,DIESEL
2168227,Unidad WF0CP6A76J1C82423      ,UNIDADWF0CP,,22.3,14.0,21.1,22.36,28.62088838268793,RPF,RPI,MAGNA
2380202,Unidad 1FBAX2CM1KKA25124      ,UNIDAD1FBAX,,21.99,14.0,21.1,78.0,84.26088838268792,RPF,RPS,MAGNA
4844114,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.44,14.0,21.1,21.65,27.91088838268793,RPF,RPI,MAGNA
6602221,Unidad WF0CP6A75K1D03523      ,UNIDADWF0CP,,22.44,14.0,21.1,21.8,28.060888382687928,RPF,RPI,MAGNA
3055555,Unidad 1FDAF4GT9KEE44991      ,UNIDAD1FDAF,,23.59,14.0,24.24,37.08,43.34088838268793,RPF,RPI,DIESEL
2810778,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.44,14.0,21.1,45.02,51.280888382687934,RPF,RPI,MAGNA
4840617,Unidad WF06S5JP4JTA40188      ,UNIDADWF06S,,23.79,14.0,24.24,80.0,86.26088838268792,RPF,RPI,DIESEL
2531804,Unidad 1FTMF1CM5EKF66834      ,UNIDAD1FTMF,,20.99,14.0,21.1,70.0,76.26088838268792,RPF,RPI,MAGNA
3947579,Unidad 1FTEX1CM0EKE60874      ,UNIDAD1FTEX,,22.19,14.0,21.1,80.0,86.26088838268792,RPF,RPE,MAGNA
80030936,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.44,14.0,21.1,31.2,37.460888382687926,RPF,RPI,MAGNA
6324438,Unidad 1XKDP4TX9CR310908      ,UNIDAD1XKDP,,24.25,14.0,24.24,123.71,129.97088838268792,RPF,RPI,DIESEL
2147783,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.39,14.0,21.1,85.12,91.38088838268793,RPF,RPS,MAGNA
2240018,Unidad WF06S5JP4JTA40188      ,UNIDADWF06S,,23.79,14.0,24.24,46.06,52.32088838268793,RPF,RPI,DIESEL
4478038,Unidad 1FTEW1CB6JKF47318      ,UNIDAD1FTEW,,22.44,14.0,21.1,44.11,50.37088838268793,RPF,RPE,MAGNA
2239671,Unidad WF0CP6A73H1C16356      ,UNIDADWF0CP,,21.1,14.0,21.1,18.98,25.240888382687928,RPF,RPI,MAGNA
4627303,Unidad 1FDAF4GT9KEE44991      ,UNIDAD1FDAF,,23.89,14.0,24.24,83.72,89.98088838268792,RPF,RPI,DIESEL
4573416,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.29,14.0,21.1,52.0,58.26088838268793,RPF,RPI,MAGNA
2531804,Unidad 1FTMF1CM5EKF66834      ,UNIDAD1FTMF,,22.09,14.0,21.1,60.0,66.26088838268792,RPF,RPI,MAGNA
3947579,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,23.39,14.0,21.1,77.4,83.66088838268793,RPF,RPI,MAGNA
4478038,Unidad 1FTEW1CB6JKF47318      ,UNIDAD1FTEW,,22.44,14.0,21.1,38.0,44.26088838268793,RPF,RPE,MAGNA
3055555,Unidad 1FDAF4GT0HDA00428      ,UNIDAD1FDAF,,24.24,14.0,24.24,46.91,53.17088838268793,RPF,RPI,DIESEL
4573416,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.29,14.0,21.1,52.08,58.34088838268793,RPF,RPI,MAGNA
6446405,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.44,14.0,21.1,53.4,59.66088838268793,RPF,RPS,MAGNA
3947579,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,22.09,14.0,21.1,79.58,85.84088838268792,RPF,RPI,MAGNA
4627303,Unidad 1FDAF4GT9KEE44991      ,UNIDAD1FDAF,,24.25,14.0,24.24,103.09,109.35088838268793,RPF,RPI,DIESEL
2019024,Unidad 1FDEF3G69CED10845      ,UNIDAD1FDEF,,22.44,14.0,21.1,76.12,82.38088838268793,RPF,RPI,MAGNA
4573416,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.29,14.0,21.1,40.07,46.33088838268793,RPF,RPI,MAGNA
6419485,Unidad WF0CP6A79H1C08598      ,UNIDADWF0CP,,22.09,14.0,21.1,28.51,34.77088838268793,RPF,RPI,MAGNA
2019602,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.44,14.0,21.1,69.87,76.13088838268793,RPF,RPS,MAGNA
197612,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.22,14.0,21.1,23.31,29.570888382687926,RPF,RPI,MAGNA
1473362,Unidad 1FBAX2CMXHKA24403,UNIDAD1FBAX,,21.99,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
3277704,Unidad 1FBAX2CM5HKA24471      ,UNIDAD1FBAX,,22.39,14.0,21.1,68.79,75.05088838268793,RPF,RPI,MAGNA
6324438,Unidad WF0CP6A73J1C54353      ,UNIDADWF0CP,,22.2,14.0,21.1,32.17,38.43088838268793,RPF,RPI,MAGNA
3947579,Unidad WF0CP6A73J1C84999      ,UNIDADWF0CP,,22.09,14.0,21.1,45.0,51.26088838268793,RPF,RPI,MAGNA
6623698,Unidad WF06S5JP4JTA52082,UNIDADWF06S,,23.79,14.0,24.24,80.0,86.26088838268792,RPF,RPI,DIESEL
6358675,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.29,14.0,21.1,19.02,25.280888382687927,RPF,RPI,MAGNA
1717669,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,22.09,14.0,21.1,70.0,76.26088838268792,RPF,RPI,MAGNA
6641575,Unidad WF0CP6A76H1C08610,UNIDADWF0CP,,22.19,14.0,21.1,35.61,41.87088838268793,RPF,RPI,MAGNA
197612,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.5,14.0,21.1,79.0,85.26088838268792,RPF,RPI,MAGNA
6641575,Unidad WF0CP6A76H1C08610,UNIDADWF0CP,,22.09,14.0,21.1,49.79,56.05088838268793,RPF,RPI,MAGNA
2960664,Unidad WF0CP6A74H1C46708      ,UNIDADWF0CP,,21.99,14.0,21.1,50.0,56.26088838268793,RPF,RPI,MAGNA
197612,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.32,14.0,21.1,75.0,81.26088838268792,RPF,RPI,MAGNA
6641575,Unidad 1FTMF1C8XGKD98758,UNIDAD1FTMF,,22.09,14.0,21.1,20.64,26.90088838268793,RPF,RPI,MAGNA
2494672,Unidad WF0CP6A73J1C84999      ,UNIDADWF0CP,,22.19,14.0,21.1,38.72,44.98088838268793,RPF,RPI,MAGNA
2425213,Unidad 1FBAX2CM1KKA25124      ,UNIDAD1FBAX,,21.99,14.0,21.1,80.0,86.26088838268792,RPF,RPS,MAGNA
6602627,Unidad WF0CP6A76J1C82423      ,UNIDADWF0CP,,22.18,14.0,21.1,20.21,26.47088838268793,RPF,RPI,MAGNA
2494672,Unidad 1FBAX2CM7KKA33681,UNIDAD1FBAX,,22.19,14.0,21.1,63.69,69.95088838268792,RPF,RPI,MAGNA
6641575,Unidad 1FTMF1C8XGKD98758,UNIDAD1FTMF,,21.44,14.0,21.1,63.25,69.51088838268792,RPF,RPI,MAGNA
13114725,Unidad WF06S5JP3JTA40229      ,UNIDADWF06S,,23.79,14.0,24.24,60.0,66.26088838268792,RPF,RPS,DIESEL
4519914,Unidad WF0CP6A73J1C84999      ,UNIDADWF0CP,,22.09,14.0,21.1,35.0,41.26088838268793,RPF,RPI,MAGNA
1717669,Unidad 1FDAF4GT1KEE30602      ,UNIDAD1FDAF,,24.25,14.0,24.24,120.0,126.26088838268792,RPF,RPE,DIESEL
2980423,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.35,14.0,21.1,58.16,64.42088838268792,RPF,RPI,MAGNA
1717669,Unidad 1FDAF4GT1KEE30602      ,UNIDAD1FDAF,,24.34,14.0,24.24,60.0,66.26088838268792,RPF,RPE,DIESEL
4573416,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,22.29,14.0,21.1,30.59,36.85088838268793,RPF,RPI,MAGNA
1717669,Unidad 1FDAF4GT1KEE30602      ,UNIDAD1FDAF,,22.59,14.0,24.24,120.0,126.26088838268792,RPF,RPE,DIESEL
3426806,Unidad 3HAMPAFL0BL409685,UNIDAD3HAMP,,24.09,14.0,24.24,89.37,95.63088838268793,RPF,RPE,DIESEL
3201324,Unidad VF634DPA69D005757,UNIDADVF634,,22.55,14.0,24.24,95.51,101.77088838268793,RPF,RPE,DIESEL
4255618,Unidad 1FDEF3G69CED10845      ,UNIDAD1FDEF,,22.44,14.0,21.1,68.67,74.93088838268793,RPF,RPI,MAGNA
4165346,Unidad 3HAMMAAR19L121527      ,UNIDAD3HAMM,,23.79,14.0,24.24,115.39,121.65088838268792,RPF,RPE,DIESEL
6641575,Unidad WF0CP6A73J1C54353      ,UNIDADWF0CP,,22.19,14.0,21.1,25.0,31.26088838268793,RPF,RPI,MAGNA
3055555,Unidad 1FDAF4GT0HDA00428      ,UNIDAD1FDAF,,24.24,14.0,24.24,71.25,77.51088838268792,RPF,RPI,DIESEL
13114725,Unidad WF06S5JP3JTA40229      ,UNIDADWF06S,,23.79,14.0,24.24,47.0,53.26088838268793,RPF,RPS,DIESEL
197612,Unidad VF634DPA69D005399,UNIDADVF634,,23.79,14.0,24.24,126.05,132.31088838268792,RPF,RPI,DIESEL
1717669,Unidad 1FDAF4GT1KEE30602      ,UNIDAD1FDAF,,22.61,14.0,24.24,110.0,116.26088838268792,RPF,RPE,DIESEL
2494672,Unidad 1FTEX1CM0EKE60874      ,UNIDAD1FTEX,,20.99,14.0,21.1,79.37,85.63088838268793,RPF,RPE,MAGNA
4478038,Unidad 1FTEW1CB6JKF47318      ,UNIDAD1FTEW,,22.44,14.0,21.1,81.55,87.81088838268792,RPF,RPE,MAGNA
1287051,Unidad 1FBAX2CM1KKA25124      ,UNIDAD1FBAX,,21.99,14.0,21.1,50.0,56.26088838268793,RPF,RPS,MAGNA
2239671,Unidad WF0CP6A73H1C16356      ,UNIDADWF0CP,,21.1,14.0,21.1,48.51,54.77088838268793,RPF,RPI,MAGNA
6358675,Unidad WF0CP6A75K1D03523      ,UNIDADWF0CP,,22.29,14.0,21.1,21.1,27.360888382687932,RPF,RPI,MAGNA
2147783,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.39,14.0,21.1,75.09,81.35088838268793,RPF,RPS,MAGNA
2920742,Unidad 1FTMF1CBXJKC01140      ,UNIDAD1FTMF,,21.99,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
1998434,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,22.09,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
2848984,Unidad 1FTMF1CM5EKF66848      ,UNIDAD1FTMF,,21.99,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
4234423,Unidad WF06S5JP9JTA49274      ,UNIDADWF06S,,23.79,14.0,24.24,25.0,31.26088838268793,RPF,RPS,DIESEL
24251631,Unidad WF0CP6A75J1C82381,UNIDADWF0CP,,21.1,14.0,21.1,30.0,36.26088838268793,RPF,RPI,MAGNA
1998434,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,22.09,14.0,21.1,55.77,62.030888382687934,RPF,RPI,MAGNA
1950328,Unidad 1FTEX1CM0EKE60874      ,UNIDAD1FTEX,,22.09,14.0,21.1,80.0,86.26088838268792,RPF,RPE,MAGNA
2980423,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.35,14.0,21.1,60.0,66.26088838268792,RPF,RPI,MAGNA
24251631,Unidad WF0CP6A75J1C82381,UNIDADWF0CP,,22.09,14.0,21.1,44.42,50.68088838268793,RPF,RPI,MAGNA
4643211,Unidad WF0CP6A73J1C54353      ,UNIDADWF0CP,,20.99,14.0,21.1,23.48,29.740888382687928,RPF,RPI,MAGNA
2157899,Unidad 3WKDD40X9DF848400,UNIDAD3WKDD,,23.79,14.0,24.24,126.1,132.36088838268793,RPF,RPI,DIESEL
197612,Unidad 1FBAX2CM5KKA33680      ,UNIDAD1FBAX,,22.09,14.0,21.1,75.1,81.36088838268792,RPF,RPI,MAGNA
4234423,Unidad WF06S5JP3JTA40229      ,UNIDADWF06S,,23.79,14.0,24.24,18.0,24.26088838268793,RPF,RPS,DIESEL
4255618,Unidad 1FBAX2CM5HKA24471      ,UNIDAD1FBAX,,22.44,14.0,21.1,64.63,70.89088838268792,RPF,RPI,MAGNA
2919710,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.44,14.0,21.1,68.34,74.60088838268793,RPF,RPS,MAGNA
80030936,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,20.0,14.0,21.1,44.0,50.26088838268793,RPF,RPI,MAGNA
2875656,Unidad 1FDEF3G69CED10845      ,UNIDAD1FDEF,,22.44,14.0,21.1,44.57,50.83088838268793,RPF,RPI,MAGNA
4573416,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.29,14.0,21.1,41.07,47.33088838268793,RPF,RPI,MAGNA
2494672,Unidad 1FTEX1CM0EKE60874      ,UNIDAD1FTEX,,22.09,14.0,21.1,33.95,40.21088838268793,RPF,RPE,MAGNA
4519914,Unidad WF0CP6A77H1C08597      ,UNIDADWF0CP,,20.2,14.0,21.1,23.57,29.83088838268793,RPF,RPI,MAGNA
4844114,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.2,14.0,21.1,43.24,49.50088838268793,RPF,RPI,MAGNA
1717669,Unidad WF0CP6A73J1C84999      ,UNIDADWF0CP,,22.09,14.0,21.1,58.85,65.11088838268793,RPF,RPI,MAGNA
2884484,Unidad 1FTEX1CM0EKE60874      ,UNIDAD1FTEX,,21.05,14.0,21.1,50.0,56.26088838268793,RPF,RPE,MAGNA
4255618,Unidad 1FBAX2CM5HKA24471      ,UNIDAD1FBAX,,22.44,14.0,21.1,51.39,57.65088838268793,RPF,RPI,MAGNA
2240018,Unidad WF06S5JP4JTA40188      ,UNIDADWF06S,,23.99,14.0,24.24,24.17,30.430888382687932,RPF,RPI,DIESEL
4844114,Unidad 1FTMF1C81GKD98776      ,UNIDAD1FTMF,,22.29,14.0,21.1,50.42,56.68088838268793,RPF,RPI,MAGNA
4478038,Unidad 1FTEW1CB6JKF47318      ,UNIDAD1FTEW,,22.44,14.0,21.1,48.07,54.33088838268793,RPF,RPE,MAGNA
3055555,Unidad WF0CP6A71K1D42593      ,UNIDADWF0CP,,20.49,14.0,21.1,35.01,41.27088838268793,RPF,RPI,MAGNA
2395374,Unidad WF06S5JP4JTA40188      ,UNIDADWF06S,,23.99,14.0,24.24,80.0,86.26088838268792,RPF,RPI,DIESEL
1950328,Unidad 1FTMF1CM5EKF66834      ,UNIDAD1FTMF,,22.09,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
2919710,Unidad 1FBAX2CM3KKA33676      ,UNIDAD1FBAX,,22.2,14.0,21.1,80.0,86.26088838268792,RPF,RPS,MAGNA
778027,Unidad 1FTMF1CM8DKF62856      ,UNIDAD1FTMF,,21.89,14.0,21.1,79.04,85.30088838268793,RPF,RPI,MAGNA
6641419,Unidad WF0CP6A76H1C07201,UNIDADWF0CP,,22.09,14.0,21.1,40.0,46.26088838268793,RPF,RPI,MAGNA
2960664,Unidad WF0CP6A74H1C46708      ,UNIDADWF0CP,,22.09,14.0,21.1,50.0,56.26088838268793,RPF,RPI,MAGNA
3055555,Unidad WF0CP6A73J1C54353      ,UNIDADWF0CP,,22.09,14.0,21.1,13.6,19.86088838268793,RPF,RPI,MAGNA
3223575,Unidad 1FTMF1CBXJKC01140      ,UNIDAD1FTMF,,17.79,14.0,21.1,77.0,83.26088838268792,RPF,RPI,MAGNA
3235173,Unidad 1FTMF1CM5EKF66848      ,UNIDAD1FTMF,,17.79,14.0,21.1,79.09,85.35088838268793,RPF,RPI,MAGNA
3093234,Unidad 1FDEF3G6XCED10840      ,UNIDAD1FDEF,,17.79,14.0,21.1,110.0,116.26088838268792,RPF,RPS,MAGNA
4840617,Unidad 1FTMF1CBXJKC01140      ,UNIDAD1FTMF,,17.79,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
2212397,Unidad 1FDEF3G6XCED10840      ,UNIDAD1FDEF,,17.79,14.0,21.1,90.0,96.26088838268792,RPF,RPS,MAGNA
1243609,Unidad 1FBAX2CMXHKA24403,UNIDAD1FBAX,,17.79,14.0,21.1,80.0,86.26088838268792,RPF,RPI,MAGNA
3093234,Unidad 1FDEF3G6XCED10840      ,UNIDAD1FDEF,,17.79,14.0,21.1,110.0,116.26088838268792,RPF,RPS,MAGNA
13114725,Unidad 1FBAX2CM1KKA25124      ,UNIDAD1FBAX,,17.79,14.0,21.1,50.0,56.26088838268793,RPF,RPS,MAGNA
2380202,Unidad 1FDEF3G6XCED10840      ,UNIDAD1FDEF,,17.79,14.0,21.1,103.0,109.26088838268792,RPF,RPS,MAGNA
2380202,Unidad 1FDEF3G6XCED10840      ,UNIDAD1FDEF,,17.79,14.0,21.1,100.0,106.26088838268792,RPF,RPS,MAGNA
3160025,Unidad 1FBAX2CM1KKA25124      ,UNIDAD1FBAX,,17.89,14.0,21.1,75.0,81.26088838268792,RPF,RPS,MAGNA
FERNANDO LUNA GARCES,Unidad VF634DPA69D005757,UNIDADVF634,08450,14.0,6.35,23.79,214.8426851851852,520.1341408333333,RPF,RPE,DIESEL
DEMETRIO CRUZ OLMOS,Unidad 3WKDDB0X28F810291,UNIDAD3WKDD,08450,14.0,6.13,23.79,218.18173809523807,528.2179879285713,RPF,RPS,DIESEL
HERIBERTO RAMIREZ CABALLERO,Unidad 1XKDDB0X68R816320,UNIDAD1XKDD,8450,14.0,6.43,23.765868014583642,223.47692913385825,541.0376454330708,RPF,RPS,DIESEL
OSVEL JAVIER FLORES GARZA,Unidad 3WKADB0X89F824975      ,UNIDAD3WKAD,11201,14.0,6.08,22.53735935896023,234.45810606060604,567.6230747727271,WEC,WCF,DIESEL
LUIS TIJERINA BARRETO,Unidad 1NKDX4EX4DR360978      ,UNIDAD1NKDX,8450,14.0,6.71,23.767084273879767,217.6555658198614,526.9441248498845,RPF,RPS,DIESEL
NICANOR NAVA HERNANDEZ,Unidad 1NKDL4EX1AR269612      ,UNIDAD1NKDL,13289,14.0,7.03,22.67674937737398,207.48556581986142,502.32255484988445,RPF,RPI,DIESEL
3093234,Unidad WF06S5JP9JTA49274      ,UNIDADWF06S,,23.79,14.0,24.24,50.0,56.26088838268793,RPF,RPS,DIESEL
3055555,Unidad 1FDAF4GT9KEE44991      ,UNIDAD1FDAF,,24.24,14.0,24.24,76.86,83.12088838268792,RPF,RPI,DIESEL
4627303,Unidad 1FDAF4GT9KEE44991      ,UNIDAD1FDAF,,24.25,14.0,24.24,10.39,16.65088838268793,RPF,RPI,DIESEL
13114725,Unidad WF06S5JP3JTA40229      ,UNIDADWF06S,,23.79,14.0,24.24,70.0,76.26088838268792,RPF,RPS,DIESEL
4234423,Unidad WF06S5JP9JTA49274      ,UNIDADWF06S,,23.79,14.0,24.24,74.0,80.26088838268792,RPF,RPS,DIESEL
3426806,Unidad 3HAMPAFL0BL409685,UNIDAD3HAMP,,24.25,14.0,24.24,83.93,90.19088838268793,RPF,RPE,DIESEL
